,x_pix,y_pix,ux,uy,Exx,Eyy,Exy,R,Reig,lambda1,width_mm,area_mm2,stress_mpa,frame
2906097,321.0,860.0,6.791533029589722,-0.012476939748674365,1.9494249420379197,-0.23805710121114604,-0.09077013102130652,0.9857020103240028,2.372067287751287,4.906370017654763,3.0634,4.901440000000001,0.16267005308643986,16.0
2893854,318.0,865.0,13.22231859571033,-0.060105650063302374,3.3992928780524543,-0.28701404206731473,-0.13317708169887602,0.7259899635853597,2.0663626958513888,7.808195941343729,3.0634,4.901440000000001,0.2491400555755043,32.0
2893857,321.0,865.0,10.800588931147182,-0.0303651992600682,2.9908115474343857,-0.27734108124607726,-0.11842818045770845,0.7217743032647784,2.072605791968667,6.990194827506653,3.0634,4.901440000000001,0.21495591418032248,26.0
2893855,319.0,865.0,0.2753809280897299,-0.04577202892067084,0.044226383147675574,-0.018302726903166977,0.0008912425145858528,0.6193041245247831,0.8164294889282621,1.0884781673258814,3.0634,4.901440000000001,0.052458846379839386,1.0
2915838,270.0,856.0,7.693878527900682,0.01962440774083607,2.409435313094176,-0.280967736363292,0.05411182155034736,2.391008360592441,1.1517636219798129,5.821046438241914,3.0422,4.86752,0.18118707719742294,20.0
2896306,322.0,864.0,12.877213961596066,-0.04958896705805671,3.3353413335729734,-0.29344226716381183,-0.13764236672339128,0.8152134549340279,2.169115355056615,7.681109434805731,3.0634,4.901440000000001,0.24574616704478677,31.0
2901200,320.0,862.0,18.6419140661098,-0.12230086636772786,4.051968210921776,-0.32771003285887035,-0.1738287675098495,0.9619138477717223,2.269302416619357,9.117713228555797,3.0634,4.901440000000001,0.32681854801854143,44.0
2903652,324.0,861.0,10.4522058768975,-0.0129561548550714,2.902915789530026,-0.2881232584562561,-0.12666246751962804,0.9389852069027059,2.269491728941657,6.815871056896878,3.074,4.9184,0.20554780030091088,25.0
2925681,321.0,852.0,4.258829441084402,-0.03843965397377991,1.1184646970756458,-0.21072722804558958,-0.045143862808234625,0.06028803654507342,1.942974207967965,3.2399923422448214,3.0634,4.901440000000001,0.15131632071391263,10.0
2908495,271.0,859.0,14.103547122864995,-0.05437276004828995,3.5357297312216733,-0.33725096932898146,0.06031144786035599,2.2621786053663357,0.8919421590750135,8.073337390257073,3.0422,4.86752,0.2800367895766222,36.0
2935469,317.0,848.0,8.350439102594834,0.040540837003289365,2.431296906932091,-0.26701308405914087,-0.09888160492502293,0.5143471696097939,2.0958996087100528,5.869831289588936,3.0634,4.901440000000001,0.17993318738982828,20.0
2901203,323.0,862.0,17.304698454118487,-0.10567793319851759,3.919818598652272,-0.32445760741069174,-0.17123632729359153,0.9451009548523949,2.306614351630148,8.853431919783308,3.074,4.9184,0.30645658303513335,41.0
2896305,321.0,864.0,13.28022860602038,-0.05761634901200097,3.39929287805222,-0.2959418598542757,-0.14095422675395866,0.8325473643915852,2.181314429698199,7.809323514640694,3.0634,4.901440000000001,0.2491400555755043,32.0
2915842,274.0,856.0,7.373660432015839,0.016278784648993128,2.302724475838807,-0.27752091203387996,0.053237651555169,2.393938176907649,1.181501237063435,5.607644899403998,3.0422,4.86752,0.17830897150910527,19.0
2908543,319.0,859.0,15.411739615150422,-0.06838396119549595,3.6490814552262325,-0.32032717508044073,-0.16766568750484498,0.9811580665893793,2.414410196341309,8.312301945910441,3.0634,4.901440000000001,0.2850472134719592,37.0
2935476,324.0,848.0,15.080485628926162,-0.02196967612129308,3.6306880800861814,-0.2997697021050386,-0.13959957978197493,0.0,2.0315837272433694,8.271280106082859,3.074,4.9184,0.2771398572706571,36.0
2901202,322.0,862.0,18.21491404357433,-0.12004140569411614,4.019430578505174,-0.32696767556368417,-0.1748381946318279,0.975031283518476,2.299826385300455,9.052904550318656,3.0634,4.901440000000001,0.3208993809982372,43.0
2884064,320.0,869.0,18.634245883620675,-0.15068684007308608,4.006377624332479,-0.2961140162178064,-0.1654251999063162,0.8848092438653243,2.1986212752708587,9.025457265885,3.0634,4.901440000000001,0.32681854801854143,44.0
2896308,324.0,864.0,16.862351561113154,-0.11016922411994967,3.877870694143767,-0.30515425221331105,-0.15814301107243364,0.7933298022294731,2.1620044493419077,8.767681823152316,3.074,4.9184,0.3003556628171763,40.0
